EMOTYPE,EMOLEVEL,LOADLEVEL,POSI1,POSI2,POSILOGI,ACCU1,ACCU2,RT1,RT2
SAD,LOW,HIGH,0,1,0,1.000000,1.000000,1.084639,1.049654
SAD,LOW,HIGH,0,0,1,1.000000,1.000000,0.949831,0.633066
SAD,LOW,HIGH,0,1,0,1.000000,0.000000,0.766185,1.099639
SAD,LOW,HIGH,1,0,0,1.000000,1.000000,1.099563,0.749654
SAD,LOW,HIGH,1,0,0,1.000000,0.000000,1.066206,0.916252
SAD,LOW,HIGH,0,1,0,1.000000,1.000000,0.832904,1.182933
SAD,LOW,HIGH,0,1,0,1.000000,0.000000,0.982854,1.532876
SAD,LOW,HIGH,0,0,1,1.000000,0.000000,1.132774,1.382872
SAD,LOW,HIGH,0,1,0,1.000000,0.000000,1.033062,1.266260
SAD,LOW,HIGH,1,1,1,1.000000,1.000000,1.066473,0.799601
SAD,LOW,HIGH,1,1,1,1.000000,1.000000,0.949950,0.716314
SAD,LOW,HIGH,0,1,0,1.000000,1.000000,0.982881,0.883022
SAD,LOW,HIGH,1,1,1,1.000000,1.000000,0.949670,0.866289
SAD,LOW,HIGH,1,0,0,1.000000,0.000000,1.282788,0.849616
SAD,LOW,HIGH,1,1,1,1.000000,1.000000,1.416472,0.649615
SAD,LOW,HIGH,0,1,0,1.000000,1.000000,1.049566,0.616335
SAD,LOW,HIGH,0,0,1,1.000000,0.000000,1.166472,1.066288
SAD,LOW,HIGH,1,1,1,1.000000,1.000000,0.866482,1.099616
SAD,LOW,HIGH,1,1,1,1.000000,1.000000,1.032883,0.649718
SAD,LOW,HIGH,1,1,1,1.000000,1.000000,0.916178,0.666289
SAD,STRONG,HIGH,0,1,0,1.000000,0.000000,0.816537,0.968176
SAD,STRONG,HIGH,0,0,1,1.000000,0.000000,1.132813,1.084259
SAD,STRONG,HIGH,0,1,0,1.000000,1.000000,0.849804,0.750733
SAD,STRONG,HIGH,1,0,0,1.000000,0.000000,1.116465,0.867506
SAD,STRONG,HIGH,1,0,0,1.000000,1.000000,0.999812,0.650837
SAD,STRONG,HIGH,0,1,0,1.000000,0.000000,0.933190,0.900757
SAD,STRONG,HIGH,0,1,0,1.000000,1.000000,0.983156,1.167493
SAD,STRONG,HIGH,0,0,1,1.000000,1.000000,1.199798,0.734130
SAD,STRONG,HIGH,0,1,0,1.000000,1.000000,1.199743,0.850779
SAD,STRONG,HIGH,1,1,1,1.000000,0.000000,0.966462,0.967436
SAD,STRONG,HIGH,1,1,1,1.000000,1.000000,0.816411,0.800820
SAD,STRONG,HIGH,0,1,0,1.000000,1.000000,0.933077,1.067474
SAD,STRONG,HIGH,1,1,1,1.000000,0.000000,0.816197,1.550793
SAD,STRONG,HIGH,1,0,0,1.000000,0.000000,0.932776,1.117402
SAD,STRONG,HIGH,1,1,1,1.000000,1.000000,0.833097,0.900904
SAD,STRONG,HIGH,0,1,0,1.000000,1.000000,1.032833,0.700783
SAD,STRONG,HIGH,0,0,1,1.000000,1.000000,0.966156,0.600861
SAD,STRONG,HIGH,1,1,1,1.000000,1.000000,1.149559,0.617532
SAD,STRONG,HIGH,1,1,1,1.000000,1.000000,0.749818,0.667465
SAD,STRONG,HIGH,1,1,1,1.000000,1.000000,0.933041,1.017434
ANGRY,LOW,HIGH,1,1,1,1.000000,1.000000,0.916123,0.916273
ANGRY,LOW,HIGH,1,0,0,1.000000,0.000000,1.366434,0.982993
ANGRY,LOW,HIGH,0,0,1,1.000000,0.000000,1.233077,0.932835
ANGRY,LOW,HIGH,0,0,1,1.000000,0.000000,0.866210,0.999652
ANGRY,LOW,HIGH,1,0,0,1.000000,0.000000,0.966247,0.633009
ANGRY,LOW,HIGH,1,0,0,1.000000,1.000000,0.983135,1.016295
ANGRY,LOW,HIGH,1,0,0,1.000000,1.000000,0.799508,0.649634
ANGRY,LOW,HIGH,1,1,1,1.000000,1.000000,1.049542,0.949693
ANGRY,LOW,HIGH,1,1,1,1.000000,0.000000,0.783170,0.816309
ANGRY,LOW,HIGH,0,1,0,1.000000,1.000000,0.966468,0.599620
ANGRY,LOW,HIGH,0,1,0,1.000000,0.000000,0.733144,0.732941
