EMOTYPE,EMOLEVEL,LOADLEVEL,POSI1,POSI2,POSILOGI,ACCU1,ACCU2,RT1,RT2
SAD,LOW,HIGH,1,1,1,0,0,0.616396,0.399682
SAD,LOW,HIGH,1,0,0,1,1,0.882762,0.53294
SAD,LOW,HIGH,1,0,0,1,1,0.916075,0.349791
SAD,LOW,HIGH,0,1,0,1,0,0.766178,0.4664
SAD,LOW,HIGH,1,0,0,1,0,0.716339,0.482976
SAD,LOW,HIGH,0,0,1,1,0,0.949749,0.499677
SAD,LOW,HIGH,1,0,0,1,1,1.249726,0.749604
SAD,LOW,HIGH,1,1,1,0,1,0.8665,0.532961
SAD,LOW,HIGH,0,0,1,1,1,0.816171,0.782971
SAD,LOW,HIGH,1,0,0,1,1,1.182814,0.249661
SAD,LOW,HIGH,0,1,0,1,1,1.349706,0.682937
SAD,LOW,HIGH,0,0,1,1,1,0.916352,0.599778
SAD,LOW,HIGH,0,1,0,1,1,1.06638,0.549848
SAD,LOW,HIGH,0,0,1,1,1,1.049546,0.466328
SAD,LOW,HIGH,1,0,0,1,0,0.783022,0.483003
SAD,LOW,HIGH,0,0,1,1,0,1.166263,0.233256
SAD,LOW,HIGH,0,0,1,1,1,0.849346,0.63298
SAD,LOW,HIGH,1,1,1,1,1,0.916353,0.133267
SAD,LOW,HIGH,0,0,1,1,0,0.799861,0.283005
SAD,LOW,HIGH,1,0,0,0,0,0.933046,0.483128
SAD,STRONG,HIGH,1,1,1,1,0,0.699632,0.168062
SAD,STRONG,HIGH,1,0,0,1,0,1.049529,0.134191
SAD,STRONG,HIGH,1,0,0,0,0,0.599824,0.018427
SAD,STRONG,HIGH,0,1,0,1,1,1.166158,0.267751
SAD,STRONG,HIGH,1,0,0,0,0,1.066014,0.3841
SAD,STRONG,HIGH,0,0,1,1,1,0.883106,0.51748
SAD,STRONG,HIGH,1,0,0,1,0,0.899439,0.200824
SAD,STRONG,HIGH,1,1,1,1,1,0.949752,0.367483
SAD,STRONG,HIGH,0,0,1,1,1,0.983111,0.284182
SAD,STRONG,HIGH,1,0,0,1,1,0.733113,0.217559
SAD,STRONG,HIGH,0,1,0,1,0,1.266141,0.084127
SAD,STRONG,HIGH,0,0,1,1,1,0.93308,0.550782
SAD,STRONG,HIGH,0,1,0,0,0,0.849811,0.667539
SAD,STRONG,HIGH,0,0,1,1,0,1.116332,0.484133
SAD,STRONG,HIGH,1,0,0,1,0,0.816185,0.567502
SAD,STRONG,HIGH,0,0,1,1,1,0.86616,0.450799
SAD,STRONG,HIGH,0,0,1,1,1,1.316116,0.550782
SAD,STRONG,HIGH,1,1,1,1,1,0.982816,0.434154
SAD,STRONG,HIGH,0,0,1,1,1,1.299532,0.46754
SAD,STRONG,HIGH,1,0,0,1,1,0.949819,0.500871
ANGRY,LOW,HIGH,1,1,1,1,0,0.649915,0.382956
ANGRY,LOW,HIGH,0,0,1,1,1,0.899777,0.416266
ANGRY,LOW,HIGH,1,1,1,1,1,1.132791,0.366416
ANGRY,LOW,HIGH,1,1,1,1,0,0.666148,0.283017
ANGRY,LOW,HIGH,1,1,1,0,1,0.833144,0.249668
ANGRY,LOW,HIGH,0,1,0,1,1,0.616259,0.53288
ANGRY,LOW,HIGH,0,1,0,1,1,0.799812,0.549677
ANGRY,LOW,HIGH,1,0,0,1,0,0.782849,0.399623
ANGRY,LOW,HIGH,0,1,0,1,1,0.849726,0.632935
ANGRY,LOW,HIGH,1,1,1,1,1,0.782878,0.549608
ANGRY,LOW,HIGH,1,0,0,1,0,0.899804,0.499622
ANGRY,LOW,HIGH,0,1,0,1,1,0.766444,0.482973
ANGRY,LOW,HIGH,0,1,0,1,1,0.682809,0.466254
ANGRY,LOW,HIGH,0,0,1,1,0,0.749476,0.516581
ANGRY,LOW,HIGH,1,0,0,1,0,0.766353,0.299629
ANGRY,LOW,HIGH,1,1,1,0,1,0.799666,0.416282
ANGRY,LOW,HIGH,1,0,0,1,0,1.049797,0.033104
ANGRY,LOW,HIGH,0,0,1,1,0,0.882801,0.466231
ANGRY,LOW,HIGH,0,0,1,1,0,0.733039,0.516354
ANGRY,LOW,HIGH,0,1,0,1,0,0.866114,0.066381
ANGRY,STRONG,HIGH,1,1,1,0,0,0.966103,0.517999
ANGRY,STRONG,HIGH,0,0,1,1,1,0.849684,0.700803
ANGRY,STRONG,HIGH,1,1,1,1,1,0.666218,0.400758
ANGRY,STRONG,HIGH,1,1,1,1,0,0.766497,0.467625
ANGRY,STRONG,HIGH,1,1,1,1,1,0.666386,0.567253
ANGRY,STRONG,HIGH,0,1,0,1,1,1.299698,0.117504
ANGRY,STRONG,HIGH,0,1,0,1,1,0.866521,0.567462
ANGRY,STRONG,HIGH,1,0,0,1,1,0.766575,1.150831
ANGRY,STRONG,HIGH,0,1,0,1,0,0.766385,0.650881
ANGRY,STRONG,HIGH,1,1,1,1,0,0.916121,0.817454
ANGRY,STRONG,HIGH,1,0,0,1,0,1.049787,0.517553
ANGRY,STRONG,HIGH,0,1,0,1,1,0.982798,0.284146
ANGRY,STRONG,HIGH,0,1,0,1,0,0.783121,0.234334
ANGRY,STRONG,HIGH,0,0,1,1,1,0.916364,0.050826
ANGRY,STRONG,HIGH,1,0,0,1,0,0.883134,0.050989
ANGRY,STRONG,HIGH,1,1,1,1,1,0.666461,0.018435
ANGRY,STRONG,HIGH,1,0,0,1,0,0.733133,0.017786
ANGRY,STRONG,HIGH,0,0,1,1,1,0.733089,0.517486
ANGRY,STRONG,HIGH,0,0,1,1,0,0.849522,0.617511
ANGRY,STRONG,HIGH,0,1,0,1,1,0.599679,0.500845
SAD,LOW,HIGH,1,1,1,1,1,0.716296,0.932978
SAD,LOW,HIGH,1,0,0,1,1,1.033131,0.649595
SAD,LOW,HIGH,1,0,0,1,0,0.84965,0.466524
SAD,LOW,HIGH,0,1,0,0,1,1.349786,0.582943
SAD,LOW,HIGH,1,0,0,1,0,0.782881,0.516265
SAD,LOW,HIGH,0,0,1,1,1,1.06609,0.482986
SAD,LOW,HIGH,1,0,0,1,1,1.03314,0.482989
SAD,LOW,HIGH,1,1,1,1,1,0.683088,0.599654
SAD,LOW,HIGH,0,0,1,1,1,1.049735,0.532996
SAD,LOW,HIGH,1,0,0,1,1,0.982878,0.499853
SAD,LOW,HIGH,0,1,0,1,1,0.799439,0.399825
SAD,LOW,HIGH,0,0,1,1,0,0.933024,0.249477
SAD,LOW,HIGH,0,1,0,1,1,0.783184,0.283008
SAD,LOW,HIGH,0,0,1,1,0,0.666166,0.382945
SAD,LOW,HIGH,1,0,0,1,1,0.766423,0.366275
SAD,LOW,HIGH,0,0,1,1,0,1.199727,0.083132
SAD,LOW,HIGH,0,0,1,1,0,0.749773,0.033126
SAD,LOW,HIGH,1,1,1,1,1,0.933112,0.083167
SAD,LOW,HIGH,0,0,1,1,0,0.982986,0.233032
SAD,LOW,HIGH,1,0,0,1,1,0.749815,0.066368
SAD,STRONG,HIGH,1,1,1,1,0,0.61636,0.134891
SAD,STRONG,HIGH,1,0,0,1,0,0.783026,0.367486
SAD,STRONG,HIGH,1,0,0,1,0,0.016575,1.950718
SAD,STRONG,HIGH,0,1,0,1,1,1.03284,0.05081
SAD,STRONG,HIGH,1,0,0,0,1,1.033127,0.584163
SAD,STRONG,HIGH,0,0,1,1,0,0.699828,0.517594
SAD,STRONG,HIGH,1,0,0,1,0,0.86646,0.167588
SAD,STRONG,HIGH,1,1,1,1,1,0.733068,0.084268
SAD,STRONG,HIGH,0,0,1,1,1,0.699712,0.150724
SAD,STRONG,HIGH,1,0,0,1,1,0.733057,0.067637
SAD,STRONG,HIGH,0,1,0,0,1,0.816291,0.017951
SAD,STRONG,HIGH,0,0,1,1,1,0.866454,0.467508
SAD,STRONG,HIGH,0,1,0,0,1,0.699623,0.50101
SAD,STRONG,HIGH,0,0,1,0,1,0.966265,0.017945
SAD,STRONG,HIGH,1,0,0,0,0,0.882863,0.017943
SAD,STRONG,HIGH,0,0,1,1,1,0.682893,0.534165
SAD,STRONG,HIGH,0,0,1,1,0,1.049764,0.417488
SAD,STRONG,HIGH,1,1,1,1,1,0.849804,0.417691
SAD,STRONG,HIGH,0,0,1,1,1,1.066464,0.634111
SAD,STRONG,HIGH,1,0,0,1,1,1.049681,0.634119
ANGRY,LOW,LOW,1,1,1,1,1,1.449493,0.249651
ANGRY,LOW,LOW,1,0,0,1,1,0.866412,0.466206
ANGRY,LOW,LOW,0,1,0,1,1,0.899486,0.449671
ANGRY,LOW,LOW,1,1,1,1,1,0.699696,0.53312
ANGRY,LOW,LOW,0,1,0,1,1,0.833114,0.482945
ANGRY,LOW,LOW,0,1,0,1,0,1.916097,0.699622
ANGRY,LOW,LOW,0,1,0,1,1,0.733083,0.449673
ANGRY,LOW,LOW,1,1,1,1,1,1.049525,0.499655
ANGRY,LOW,LOW,1,0,0,0,1,0.816385,0.482902
ANGRY,LOW,LOW,1,0,0,0,0,0.76621,0.516494
ANGRY,LOW,LOW,1,0,0,1,1,0.86615,0.56623
ANGRY,LOW,LOW,0,0,1,1,1,1.01644,0.599695
ANGRY,LOW,LOW,0,0,1,1,1,0.932846,0.749638
ANGRY,LOW,LOW,0,0,1,1,0,0.766423,0.632956
ANGRY,LOW,LOW,0,0,1,1,1,0.799866,0.51635
ANGRY,LOW,LOW,0,0,1,1,1,0.882841,0.466304
ANGRY,LOW,LOW,1,0,0,1,1,0.882975,0.499612
ANGRY,LOW,LOW,0,0,1,1,0,0.733091,0.649695
ANGRY,LOW,LOW,1,1,1,1,1,0.783028,0.466293
ANGRY,LOW,LOW,1,0,0,1,1,0.699433,0.466289
ANGRY,STRONG,LOW,1,1,1,1,1,0.899738,0.417994
ANGRY,STRONG,LOW,1,0,0,1,0,1.016498,0.584115
ANGRY,STRONG,LOW,0,1,0,1,0,0.699747,0.517562
ANGRY,STRONG,LOW,1,1,1,1,0,0.866476,0.467522
ANGRY,STRONG,LOW,0,1,0,0,1,0.816322,0.934144
ANGRY,STRONG,LOW,0,1,0,1,1,0.83286,0.434142
ANGRY,STRONG,LOW,0,1,0,1,1,0.88283,0.600813
ANGRY,STRONG,LOW,1,1,1,1,1,0.816286,0.567376
ANGRY,STRONG,LOW,1,0,0,1,0,0.93276,0.46745
ANGRY,STRONG,LOW,1,0,0,1,1,0.666503,0.417459
ANGRY,STRONG,LOW,1,0,0,1,0,0.749556,0.834036
ANGRY,STRONG,LOW,0,0,1,1,0,1.049529,0.650799
ANGRY,STRONG,LOW,0,0,1,0,1,1.016486,0.53416
ANGRY,STRONG,LOW,0,0,1,1,0,0.79974,0.617497
ANGRY,STRONG,LOW,0,0,1,1,1,1.466367,0.717453
ANGRY,STRONG,LOW,0,0,1,1,1,0.783129,0.550817
ANGRY,STRONG,LOW,1,0,0,0,1,0.783117,0.584146
ANGRY,STRONG,LOW,0,0,1,1,1,0.782822,0.617468
ANGRY,STRONG,LOW,1,1,1,1,0,0.683082,0.584143
ANGRY,STRONG,LOW,1,0,0,1,1,0.88305,0.451024
