EMOTYPE,EMOLEVEL,LOADLEVEL,POSI1,POSI2,POSILOGI,ACCU1,ACCU2,RT1,RT2
SAD,LOW,HIGH,1,0,0,0.000000,0.000000,2.017948,2.016304
SAD,LOW,HIGH,1,0,0,0.000000,1.000000,0.333094,0.533030
SAD,LOW,HIGH,1,0,0,1.000000,0.000000,0.383161,1.799609
SAD,LOW,HIGH,0,1,0,0.000000,1.000000,0.399846,0.616280
SAD,LOW,HIGH,1,1,1,1.000000,1.000000,0.516223,0.799635
SAD,LOW,HIGH,1,1,1,1.000000,0.000000,0.016397,2.016298
SAD,LOW,HIGH,1,0,0,0.000000,0.000000,0.766393,0.916214
SAD,LOW,HIGH,0,0,1,0.000000,1.000000,2.016329,0.466336
SAD,LOW,HIGH,0,0,1,1.000000,0.000000,0.116255,2.016303
SAD,LOW,HIGH,0,1,0,0.000000,1.000000,0.449816,0.332944
SAD,LOW,HIGH,0,0,1,0.000000,0.000000,1.016514,0.566245
SAD,LOW,HIGH,0,1,0,0.000000,0.000000,1.533199,0.466437
SAD,LOW,HIGH,1,0,0,0.000000,0.000000,0.399845,0.399636
SAD,LOW,HIGH,0,0,1,0.000000,0.000000,0.366256,0.399555
SAD,LOW,HIGH,1,0,0,0.000000,0.000000,0.349562,0.382987
SAD,LOW,HIGH,1,1,1,0.000000,1.000000,0.333115,0.682999
SAD,LOW,HIGH,0,0,1,1.000000,0.000000,1.466418,1.149654
SAD,LOW,HIGH,1,1,1,1.000000,0.000000,0.549696,0.982949
SAD,LOW,HIGH,0,0,1,1.000000,1.000000,0.549834,1.466305
SAD,LOW,HIGH,0,1,0,0.000000,0.000000,0.783100,1.849606
SAD,STRONG,HIGH,1,0,0,0.000000,0.000000,0.383127,0.551546
SAD,STRONG,HIGH,1,0,0,1.000000,0.000000,0.666246,1.467449
SAD,STRONG,HIGH,1,0,0,0.000000,0.000000,1.499510,2.000744
SAD,STRONG,HIGH,0,1,0,1.000000,1.000000,0.616202,1.117486
SAD,STRONG,HIGH,1,1,1,1.000000,0.000000,0.533079,1.084131
SAD,STRONG,HIGH,1,1,1,0.000000,1.000000,0.616449,0.267455
SAD,STRONG,HIGH,1,0,0,0.000000,1.000000,0.416234,0.434182
SAD,STRONG,HIGH,0,0,1,0.000000,1.000000,0.916482,0.484204
SAD,STRONG,HIGH,0,0,1,1.000000,0.000000,1.532633,2.000788
SAD,STRONG,HIGH,0,1,0,0.000000,0.000000,2.016062,2.000765
SAD,STRONG,HIGH,0,0,1,0.000000,0.000000,2.016431,2.000743
SAD,STRONG,HIGH,0,1,0,0.000000,0.000000,2.016431,2.000809
SAD,STRONG,HIGH,1,0,0,1.000000,1.000000,0.349804,1.134140
SAD,STRONG,HIGH,0,0,1,1.000000,1.000000,0.366477,0.467511
SAD,STRONG,HIGH,1,0,0,0.000000,1.000000,0.466482,0.200828
SAD,STRONG,HIGH,1,1,1,0.000000,0.000000,0.333154,0.267556
SAD,STRONG,HIGH,0,0,1,1.000000,0.000000,0.499768,0.817442
SAD,STRONG,HIGH,1,1,1,1.000000,1.000000,0.333139,0.600873
SAD,STRONG,HIGH,0,0,1,0.000000,1.000000,0.666454,0.267464
SAD,STRONG,HIGH,0,1,0,0.000000,0.000000,2.016402,2.000817
